transaction_at,item_name,item_sku,quantity,unit_price,cost_price,total_amount,transaction_type
2026-03-21,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-21,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-21,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-21,Soap 6pk,V12-FIL-033,9,29.31,23.83,263.79,sale
2026-03-21,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-21,Tissue 6pk,V12-FIL-036,13,19.20,13.90,249.60,sale
2026-03-21,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-21,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-21,Almonds 200g,V12-FIL-064,13,4.43,3.39,57.59,sale
2026-03-21,Ginger 500g,V12-FIL-072,12,21.29,15.31,255.48,sale
2026-03-21,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-21,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-21,GT V12-SEASONAL-002,V12-SEASONAL-002,4,7.00,3.00,28.00,sale
2026-03-22,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-22,Yogurt 500g,V12-FIL-011,8,9.42,7.25,75.36,sale
2026-03-22,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
2026-03-22,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-22,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-22,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-22,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-22,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-22,Tissue 6pk,V12-FIL-036,13,19.20,13.90,249.60,sale
2026-03-22,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-22,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-22,Almonds 200g,V12-FIL-064,13,4.43,3.39,57.59,sale
2026-03-22,Ginger 500g,V12-FIL-072,12,21.29,15.31,255.48,sale
2026-03-22,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-22,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-22,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-23,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-23,Yogurt 500g,V12-FIL-011,8,9.42,7.25,75.36,sale
2026-03-23,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
2026-03-23,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-23,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-23,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-23,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-23,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-23,Tissue 6pk,V12-FIL-036,13,19.20,13.90,249.60,sale
2026-03-23,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-23,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-23,Almonds 200g,V12-FIL-064,13,4.43,3.39,57.59,sale
2026-03-23,Ginger 500g,V12-FIL-072,12,21.29,15.31,255.48,sale
2026-03-23,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-23,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-23,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-24,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-24,Yogurt 500g,V12-FIL-011,8,9.42,7.25,75.36,sale
2026-03-24,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
2026-03-24,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-24,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-24,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-24,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-24,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-24,Tissue 6pk,V12-FIL-036,12,19.20,13.90,230.40,sale
2026-03-24,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-24,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-24,Almonds 200g,V12-FIL-064,12,4.43,3.39,53.16,sale
2026-03-24,Ginger 500g,V12-FIL-072,12,21.29,15.31,255.48,sale
2026-03-24,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-24,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-24,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-25,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-25,Yogurt 500g,V12-FIL-011,7,9.42,7.25,65.94,sale
2026-03-25,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
2026-03-25,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-25,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-25,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-25,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-25,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-25,Tissue 6pk,V12-FIL-036,12,19.20,13.90,230.40,sale
2026-03-25,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-25,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-25,Almonds 200g,V12-FIL-064,12,4.43,3.39,53.16,sale
2026-03-25,Ginger 500g,V12-FIL-072,11,21.29,15.31,234.19,sale
2026-03-25,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-25,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-25,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-26,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-26,Yogurt 500g,V12-FIL-011,7,9.42,7.25,65.94,sale
2026-03-26,Eggs 30pk,V12-FIL-014,11,46.90,32.21,515.90,sale
2026-03-26,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-26,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-26,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-26,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-26,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-26,Tissue 6pk,V12-FIL-036,12,19.20,13.90,230.40,sale
2026-03-26,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-26,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-26,Almonds 200g,V12-FIL-064,12,4.43,3.39,53.16,sale
2026-03-26,Ginger 500g,V12-FIL-072,11,21.29,15.31,234.19,sale
2026-03-26,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-26,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-26,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-27,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-27,Yogurt 500g,V12-FIL-011,7,9.42,7.25,65.94,sale
2026-03-27,Eggs 30pk,V12-FIL-014,11,46.90,32.21,515.90,sale
2026-03-27,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-27,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-27,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-27,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-27,Toothpaste 3pk,V12-FIL-035,7,55.25,39.53,386.75,sale
2026-03-27,Tissue 6pk,V12-FIL-036,12,19.20,13.90,230.40,sale
2026-03-27,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-27,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-27,Almonds 200g,V12-FIL-064,12,4.43,3.39,53.16,sale
2026-03-27,Ginger 500g,V12-FIL-072,11,21.29,15.31,234.19,sale
2026-03-27,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-27,GT V12-SEASONAL-001,V12-SEASONAL-001,2,22.00,10.00,44.00,sale
2026-03-27,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-27,GT V12-SEASONAL-003,V12-SEASONAL-003,1,15.00,7.00,15.00,sale
2026-03-28,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-28,Yogurt 500g,V12-FIL-011,7,9.42,7.25,65.94,sale
2026-03-28,Eggs 30pk,V12-FIL-014,11,46.90,32.21,515.90,sale
2026-03-28,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-28,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-28,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-28,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-28,Toothpaste 3pk,V12-FIL-035,7,55.25,39.53,386.75,sale
2026-03-28,Tissue 6pk,V12-FIL-036,12,19.20,13.90,230.40,sale
2026-03-28,Jam 400g,V12-FIL-043,6,35.14,24.76,210.84,sale
2026-03-28,Baby Carrots,V12-FIL-062,10,3.77,2.78,37.70,sale
2026-03-28,Almonds 200g,V12-FIL-064,12,4.43,3.39,53.16,sale
2026-03-28,Ginger 500g,V12-FIL-072,11,21.29,15.31,234.19,sale
2026-03-28,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-28,GT V12-SEASONAL-001,V12-SEASONAL-001,2,22.00,10.00,44.00,sale
2026-03-28,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-28,GT V12-SEASONAL-003,V12-SEASONAL-003,1,15.00,7.00,15.00,sale
2026-03-29,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-29,Yogurt 500g,V12-FIL-011,7,9.42,7.25,65.94,sale
2026-03-29,Eggs 30pk,V12-FIL-014,11,46.90,32.21,515.90,sale
2026-03-29,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-29,Apple 1kg,V12-FIL-023,6,6.32,5.13,37.92,sale
2026-03-29,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-29,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-29,Toothpaste 3pk,V12-FIL-035,7,55.25,39.53,386.75,sale
2026-03-29,Tissue 6pk,V12-FIL-036,12,19.20,13.90,230.40,sale
2026-03-29,Jam 400g,V12-FIL-043,6,35.14,24.76,210.84,sale
2026-03-29,Baby Carrots,V12-FIL-062,10,3.77,2.78,37.70,sale
2026-03-29,Almonds 200g,V12-FIL-064,12,4.43,3.39,53.16,sale
2026-03-29,Ginger 500g,V12-FIL-072,11,21.29,15.31,234.19,sale
2026-03-29,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-29,GT V12-SEASONAL-001,V12-SEASONAL-001,2,22.00,10.00,44.00,sale
2026-03-29,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-29,GT V12-SEASONAL-003,V12-SEASONAL-003,1,15.00,7.00,15.00,sale
2026-03-30,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-30,Yogurt 500g,V12-FIL-011,7,9.42,7.25,65.94,sale
2026-03-30,Eggs 30pk,V12-FIL-014,11,46.90,32.21,515.90,sale
2026-03-30,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-30,Apple 1kg,V12-FIL-023,6,6.32,5.13,37.92,sale
2026-03-30,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-30,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-30,Toothpaste 3pk,V12-FIL-035,7,55.25,39.53,386.75,sale
2026-03-30,Tissue 6pk,V12-FIL-036,12,19.20,13.90,230.40,sale
2026-03-30,Jam 400g,V12-FIL-043,6,35.14,24.76,210.84,sale
2026-03-30,Baby Carrots,V12-FIL-062,10,3.77,2.78,37.70,sale
2026-03-30,Almonds 200g,V12-FIL-064,12,4.43,3.39,53.16,sale
2026-03-30,Ginger 500g,V12-FIL-072,11,21.29,15.31,234.19,sale
2026-03-30,Paprika 100g,V12-FIL-074,6,34.73,25.81,208.38,sale
2026-03-30,GT V12-SEASONAL-001,V12-SEASONAL-001,2,22.00,10.00,44.00,sale
2026-03-30,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-30,GT V12-SEASONAL-003,V12-SEASONAL-003,1,15.00,7.00,15.00,sale
2026-03-30,GT V12-SEASONAL-004,V12-SEASONAL-004,1,20.00,9.00,20.00,sale
2026-03-31,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-31,Yogurt 500g,V12-FIL-011,7,9.42,7.25,65.94,sale
2026-03-31,Eggs 30pk,V12-FIL-014,11,46.90,32.21,515.90,sale
2026-03-31,Chicken 1kg,V12-FIL-015,12,46.44,30.10,557.28,sale
2026-03-31,Apple 1kg,V12-FIL-023,6,6.32,5.13,37.92,sale
2026-03-31,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-31,Soap 6pk,V12-FIL-033,8,29.31,23.83,234.48,sale
2026-03-31,Toothpaste 3pk,V12-FIL-035,7,55.25,39.53,386.75,sale
2026-03-31,Tissue 6pk,V12-FIL-036,12,19.20,13.90,230.40,sale
2026-03-31,Jam 400g,V12-FIL-043,6,35.14,24.76,210.84,sale
2026-03-31,Baby Carrots,V12-FIL-062,10,3.77,2.78,37.70,sale
2026-03-31,Almonds 200g,V12-FIL-064,12,4.43,3.39,53.16,sale
2026-03-31,Ginger 500g,V12-FIL-072,11,21.29,15.31,234.19,sale
2026-03-31,Paprika 100g,V12-FIL-074,6,34.73,25.81,208.38,sale
2026-03-31,GT V12-SEASONAL-001,V12-SEASONAL-001,2,22.00,10.00,44.00,sale
2026-03-31,GT V12-SEASONAL-002,V12-SEASONAL-002,3,7.00,3.00,21.00,sale
2026-03-31,GT V12-SEASONAL-003,V12-SEASONAL-003,1,15.00,7.00,15.00,sale
2026-03-31,GT V12-SEASONAL-004,V12-SEASONAL-004,1,20.00,9.00,20.00,sale
2026-04-16,Chicken 1kg,V12-FIL-015,2,46.44,30.10,92.88,sale
2026-04-16,Soap 6pk,V12-FIL-033,2,29.31,23.83,58.62,sale
2026-04-16,Toothpaste 3pk,V12-FIL-035,2,55.25,39.53,110.50,sale
2026-04-16,Tissue 6pk,V12-FIL-036,2,19.20,13.90,38.40,sale
2026-04-16,Almonds 200g,V12-FIL-064,2,4.43,3.39,8.86,sale
2026-04-16,Ginger 500g,V12-FIL-072,2,21.29,15.31,42.58,sale
2026-04-16,Paprika 100g,V12-FIL-074,1,34.73,25.81,34.73,sale
2026-04-16,GT V12-SEASONAL-003,V12-SEASONAL-003,2,15.00,7.00,30.00,sale
2026-04-17,GT V12-FAST-001,V12-FAST-001,5,11.00,5.00,55.00,sale
2026-04-17,GT V12-FAST-002,V12-FAST-002,6,14.00,7.00,84.00,sale
