sku,expected_classification,expected_decision,category,expected_primary_action,financial_expectation
V12-FIL-019,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-020,SEASONAL,REORDER,SLOW,none,NONE
V12-FIL-021,HEALTHY,REORDER,STOCKOUT,none,NONE
V12-FIL-022,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-023,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-024,FAST,TRANSFER,OVERSTOCK,none,NONE
V12-FIL-025,FAST,TRANSFER,FAST,none,NONE
V12-FIL-026,HEALTHY,DO_NOTHING,SLOW,none,NONE
V12-FIL-027,FAST,TRANSFER,OVERSTOCK,none,NONE
V12-FIL-028,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-029,HEALTHY,RECOVERY_MATCH,OVERSTOCK,none,NONE
V12-FIL-030,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-031,SLOW MOVING,REORDER,STOCKOUT,none,NONE
V12-FIL-032,HEALTHY,RECOVERY_MATCH,OVERSTOCK,none,NONE
V12-FIL-033,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-034,HEALTHY,RECOVERY_MATCH,OVERSTOCK,none,NONE
V12-FIL-035,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-036,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-037,SLOW MOVING,REORDER,STOCKOUT,none,NONE
V12-FIL-038,SEASONAL,DO_NOTHING,OVERSTOCK,none,NONE
V12-FIL-039,SEASONAL,DO_NOTHING,SLOW,none,NONE
V12-FIL-040,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-041,SLOW MOVING,REORDER,STOCKOUT,none,NONE
V12-FIL-042,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-043,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-044,FAST,TRANSFER,FAST,none,NONE
V12-FIL-045,FAST,TRANSFER,OVERSTOCK,none,NONE
V12-FIL-046,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-047,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-048,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-049,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-050,SLOW MOVING,REORDER,STOCKOUT,none,NONE
V12-FIL-051,SEASONAL,REORDER,SLOW,none,NONE
V12-FIL-052,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-053,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-054,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-055,FAST,TRANSFER,FAST,none,NONE
V12-FIL-056,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-057,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-058,HEALTHY,REORDER,STOCKOUT,none,NONE
V12-FIL-059,FAST,TRANSFER,OVERSTOCK,none,NONE
V12-FIL-060,HEALTHY,RECOVERY_MATCH,OVERSTOCK,none,NONE
V12-FIL-061,FAST,TRANSFER,OVERSTOCK,none,NONE
V12-FIL-062,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-063,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-064,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-065,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-066,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-067,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-068,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-069,SEASONAL,DO_NOTHING,SLOW,none,NONE
V12-FIL-070,FAST,REORDER,FAST,none,NONE
V12-FIL-071,HEALTHY,DO_NOTHING,FAST,none,NONE
V12-FIL-072,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-073,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-074,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-075,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-076,FAST,TRANSFER,OVERSTOCK,none,NONE
V12-FIL-077,HEALTHY,REORDER,STOCKOUT,none,NONE
V12-FIL-078,SEASONAL,DO_NOTHING,SLOW,none,NONE
V12-FIL-079,DEAD,DISCOUNT,DEAD,none,NONE
